iter	RMSE
154	152632.7522
155	152068.0621
156	151678.6156
157	151128.7604
158	150701.3193
159	150376.9453
160	149743.4382
161	149157.6609
162	148717.9476
163	147989.3896
164	147322.5497
165	146619.2387
166	146054.1385
167	145765.1645
168	145043.568
169	144199.7873
170	143571.2365
171	143135.9481
172	142643.8918
173	142363.1786
174	142045.0514
175	141722.0838
176	141296.5658
177	140654.8231
178	139971.2771
179	139370.7203
180	138997.3576
181	138769.4318
182	138256.2781
183	137772.06
184	137217.6851
185	136718.7696
186	136375.4828
187	136046.6598
188	135446.6592
189	134840.4776
190	134352.8054
191	133835.6755
192	133238.4757
193	132740.3813
194	132369.2093
195	131995.3387
196	131630.8833
197	131291.2354
198	130857.1512
199	130034.0096
200	129695.2883
201	129440.1182
202	129029.4946
203	128534.3838
204	127689.8054
205	127161.6372
206	126745.5014
207	126252.7955
208	125862.3762
209	125387.1695
210	124837.6214
211	124328.6596
212	123917.2996
213	123432.4631
214	123074.1134
215	122701.9673
216	122300.1498
217	121962.3032
218	121556.7701
219	121211.0812
220	120998.9891
221	120666.9425
222	120229.995
223	119856.0559
224	119493.5641
225	119273.5182
226	118848.8635
227	118602.8711
228	118308.293
229	117661.2503
230	117492.1305
231	117290.6087
232	116928.3035
233	116544.4823
234	116260.0634
235	115979.4864
236	115671.2599
237	115447.3717
238	115090.1418
239	114681.7051
240	114313.0988
241	114139.2083
242	113755.5708
243	113477.495
244	113117.5608
245	112760.4514
246	112552.1883
247	112300.9741
248	112054.5257
249	111778.8365
250	111579.6162
251	111315.657
252	110991.864
253	110768.8443
254	110403.3472
255	110086.4788
256	109784.1115
257	109569.6401
258	109273.9756
259	109010.2447
260	108618.8155
261	108363.9083
262	108116.5713
263	107899.3677
264	107547.7907
265	107364.6177
266	107078.4973
267	106873.7835
268	106724.1188
269	106476.3739
270	106186.7599
271	105842.7558
272	105519.3248
273	105379.2979
274	105199.0027
275	104955.3612
276	104750.4682
277	104508.6874
278	104374.9753
279	104070.4326
280	103859.4592
281	103672.3294
282	103494.0088
283	103234.6287
284	103036.8545
285	102745.3161
286	102719.5074
287	102518.5405
288	102329.5601
289	102157.1514
290	101943.0565
291	101702.6474
292	101541.8848
293	101419.037
294	101261.8665
295	100869.4148
296	100702.5184
297	100534.2096
298	100279.783
299	100151.9789
300	99895.89777
301	99767.83244
302	99653.98336
303	99372.70976
304	99175.24578
305	98870.06213
306	98580.5945
307	98432.16719
308	98310.43485
309	98167.74199
310	98000.27892
311	97867.49457
312	97729.25539
313	97585.47992
314	97501.77879
315	97377.33268
316	97139.38848
317	96958.45904
318	96687.90973
319	96666.07803
320	96483.84604
321	96319.03492
322	96145.33097
323	95981.82503
324	95842.92703
325	95618.7489
326	95466.22762
327	95296.95582
328	95097.77577
329	94981.69843
330	94910.72971
331	94807.1149
332	94689.51651
333	94550.34456
334	94475.4731
335	94336.52342
336	94219.52458
337	93970.89836
338	93760.36873
339	93466.42476
340	93327.62131
341	93196.80101
342	93000.64532
343	92898.79703
344	92751.29703
345	92637.99994
346	92506.98707
347	92399.89775
348	92282.27095
349	92263.11567
350	92191.43584
351	92067.17007
352	91926.81597
353	91804.65864
354	91616.90729
355	91492.80009
356	91364.50187
357	91227.67886
358	91042.6273
359	90813.01773
360	90668.64497
361	90498.53752
362	90372.19027
363	90265.96097
364	90052.7517
365	89923.52278
366	89797.4734
367	89634.58171
368	89526.12308
369	89316.18816
370	89234.86078
371	89129.46497
372	88981.61325
373	88852.98977
374	88669.72075
375	88514.81484
376	88427.17598
377	88275.30776
378	88114.08325
379	88005.92289
380	87864.18873
381	87691.62545
382	87570.95498
383	87411.26668
384	87255.44058
385	87137.18516
386	87026.81399
387	86946.94141
388	86871.79958
389	86771.77935
390	86644.46396
391	86470.96388
392	86331.07673
393	86157.34448
394	85975.74152
395	85879.85838
396	85725.66402
397	85639.82914
398	85576.01029
399	85430.31234
